,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type,wallet_exposure,total_wallet_exposure
0,4034,SOL,0.0,-0.0026304,199.9973696,0.0,199.9973696,1.0,0.4,32.88,0.4,32.88,entry_initial_normal_long,0.06576086488689499,0.06576086488689499
1,4205,SOL,0.0,-0.003188,199.99418160000002,0.0,199.99418160000002,1.0,0.5,31.88,0.9,32.324444444444445,entry_grid_normal_long,0.14546423184543283,0.14546423184543283
2,4356,SOL,0.17600000000000193,-0.005853600000000001,200.164328,0.0,200.164328,1.0,-0.9,32.52,0.0,32.324444444444445,close_grid_long,0.0,0.0
3,4447,SOL,0.0,-0.0025552000000000005,200.16177280000002,0.0,200.16177280000002,1.0,0.4,31.94,0.4,31.94,entry_initial_normal_long,0.0638283715280923,0.0638283715280923
4,4556,SOL,0.07999999999999972,-0.0025712000000000005,200.23920160000003,0.0,200.23920160000003,1.0,-0.4,32.14,0.0,31.94,close_grid_long,0.0,0.0
5,5526,SOL,0.0,-0.0026656,200.23653600000003,0.0,200.23653600000003,1.0,0.4,33.32,0.4,33.32,entry_initial_normal_long,0.06656127930619016,0.06656127930619016
6,5529,SOL,0.08000000000000114,-0.0026816000000000006,200.31385440000003,0.0,200.31385440000003,1.0,-0.4,33.52,0.0,33.32,close_grid_long,0.0,0.0
7,5537,SOL,0.0,-0.002664,200.31119040000002,0.0,200.31119040000002,1.0,0.4,33.3,0.4,33.3,entry_initial_normal_long,0.06649653458402092,0.06649653458402092
8,5570,SOL,0.08000000000000114,-0.00268,200.38851040000003,0.0,200.38851040000003,1.0,-0.4,33.5,0.0,33.3,close_grid_long,0.0,0.0
9,6115,SOL,0.0,-0.0020754000000000002,200.38643500000003,0.0,200.38643500000003,1.0,0.3,34.59,0.3,34.59,entry_initial_normal_long,0.05178494242886251,0.05178494242886251
10,6134,SOL,0.06299999999999813,-0.002088,200.44734700000004,0.0,200.44734700000004,1.0,-0.3,34.8,0.0,34.59,close_grid_long,0.0,0.0
11,6649,SOL,0.0,-0.0020645999999999998,200.44528240000002,0.0,200.44528240000002,1.0,0.3,34.41,0.3,34.41,entry_initial_normal_long,0.051500339027185794,0.051500339027185794
12,6774,SOL,0.06300000000000025,-0.0020772,200.50620520000004,0.0,200.50620520000004,1.0,-0.3,34.62,0.0,34.41,close_grid_long,0.0,0.0
13,6816,SOL,0.0,-0.0020442,200.50416100000004,0.0,200.50416100000004,1.0,0.3,34.07,0.3,34.07,entry_initial_normal_long,0.05097649818848397,0.05097649818848397
14,6873,SOL,0.0,-0.0006749,200.50348610000003,0.0,200.50348610000003,1.0,0.1,33.745,0.4,33.988749999999996,entry_initial_partial_long,0.06780680109082651,0.06780680109082651
