,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type,wallet_exposure,total_wallet_exposure
0,4263,SOL,0.0,-0.057374900000000006,999.9426251,0.0,999.9426251,1.0,133.43,2.15,133.43,2.15,entry_initial_normal_long,0.28689096034016043,0.28689096034016043
1,4340,SOL,1.334300000000031,-0.057641760000000014,1001.2192833400001,0.0,1001.2192833400001,1.0,-133.43,2.16,0.0,2.15,close_trailing_long,0.0,0.0
2,7254,SOL,0.0,-0.05744370000000001,1001.16183964,0.0,1001.16183964,1.0,133.59,2.15,133.59,2.15,entry_initial_normal_long,0.2868851854194509,0.2868851854194509
3,7299,SOL,3.13936500000004,-0.058071573000000015,1004.243133067,0.0,1004.243133067,1.0,-133.59,2.1735,0.0,2.15,close_trailing_long,0.0,0.0
4,7487,SOL,0.0,-0.05761712,1004.185515947,0.0,1004.185515947,1.0,137.84,2.09,137.84,2.09,entry_initial_normal_long,0.28688483893169886,0.28688483893169886
5,7500,SOL,1.3784000000000318,-0.0578928,1005.5060231470001,0.0,1005.5060231470001,1.0,-137.84,2.1,0.0,2.09,close_trailing_long,0.0,0.0
6,7710,SOL,0.0,-0.05769089999999999,1005.448332247,0.0,1005.448332247,1.0,139.35,2.07,139.35,2.07,entry_initial_normal_long,0.2868914202238069,0.2868914202238069
7,7839,SOL,1.4631749999999935,-0.057983534999999996,1006.8535237120001,0.0,1006.8535237120001,1.0,-139.35,2.0805,0.0,2.07,close_trailing_long,0.0,0.0
8,9115,SOL,0.0,-0.057768,1006.7957557120001,0.0,1006.7957557120001,1.0,144.42,2.0,144.42,2.0,entry_initial_normal_long,0.28689036317573074,0.28689036317573074
9,10984,SOL,3.552731999999993,-0.0584785464,1010.2900091656,0.0,1010.2900091656,1.0,-144.42,2.0246,0.0,2.0,close_trailing_long,0.0,0.0
10,11003,SOL,0.0,-0.05796592,1010.2320432456,0.0,1010.2320432456,1.0,143.48,2.02,143.48,2.02,entry_initial_normal_long,0.28689408729192206,0.28689408729192206
11,12040,SOL,0.0,-0.05796292,1010.1740803256,0.0,1010.1740803256,1.0,143.9,2.014,287.38,2.0169956155612776,entry_trailing_normal_long,0.5738062491300199,0.5738062491300199
12,12201,SOL,1.4727388941471098,-0.08391918599999999,1011.5629000337472,0.0,1011.5629000337472,1.0,-207.3,2.0241,80.08,2.0169956155612776,close_trailing_long,0.1596747062281135,0.1596747062281135
13,12212,SOL,0.5448951058528932,-0.0324131808,1012.0753819588,0.0,1012.0753819588,1.0,-80.08,2.0238,0.0,2.0169956155612776,close_trailing_long,0.0,0.0
14,12825,SOL,0.0,-0.05806820000000001,1012.0173137588,0.0,1012.0173137588,1.0,145.9,1.99,145.9,1.99,entry_initial_normal_long,0.28689331304187415,0.28689331304187415
15,19634,SOL,0.0,-0.05806610780000001,1011.959247651,0.0,1011.959247651,1.0,167.27,1.7357,313.17,1.8541735766516587,entry_trailing_normal_long,0.5738092125230119,0.5738092125230119
16,20666,SOL,0.0,-0.06021209160000001,1011.8990355594001,0.0,1011.8990355594001,1.0,189.74,1.5867,502.91,1.7532600206796443,entry_trailing_normal_long,0.8713636104145105,0.8713636104145105
17,24182,SOL,0.0,-0.059122315200000004,1011.8399132442,0.0,1011.8399132442,1.0,201.59,1.4664,704.5,1.6711761149751596,entry_trailing_normal_long,1.1635670401903357,1.1635670401903357
18,25925,SOL,0.0,-0.05917366800000001,1011.7807395762001,0.0,1011.7807395762001,1.0,189.72,1.5595,894.22,1.6474826250810763,entry_trailing_normal_long,1.4560584673879813,1.4560584673879813
19,31310,SOL,0.0,-0.0613166792,1011.7194228970001,0.0,1011.7194228970001,1.0,220.31,1.3916,1114.53,1.5969021103065866,entry_trailing_normal_long,1.759178749285705,1.759178749285705
20,32564,SOL,0.0,-0.0781043796,1011.6413185174001,0.0,1011.6413185174001,1.0,274.59,1.4222,1389.12,1.5623684109364202,entry_trailing_normal_long,2.145342590574182,2.145342590574182
21,33232,SOL,0.0,-0.10387668480000001,1011.5374418326002,0.0,1011.5374418326002,1.0,342.24,1.5176,1731.36,1.553518985652897,entry_trailing_normal_long,2.6590223157010136,2.6590223157010136
22,33375,SOL,12.311490176687707,-0.0862000784,1023.7627319308879,0.0,1023.7627319308879,1.0,-269.51,1.5992,1461.85,1.553518985652897,close_trailing_long,2.2182988873734453,2.2182988873734453
23,33378,SOL,12.978673283459267,-0.08734640939999999,1036.6540588049472,0.0,1036.6540588049472,1.0,-272.77,1.6011,1189.08,1.553518985652897,close_trailing_long,1.78194291506432,1.78194291506432
24,33382,SOL,13.69427616266983,-0.08855524399999999,1050.2597797236172,0.0,1050.2597797236172,1.0,-276.2,1.6031,912.88,1.553518985652897,close_trailing_long,1.3503101223166132,1.3503101223166132
25,33389,SOL,14.573830244749798,-0.0898590096,1064.743750958767,0.0,1064.743750958767,1.0,-279.83,1.6056,633.05,1.553518985652897,close_trailing_long,0.9236543468623293,0.9236543468623293
26,33391,SOL,8.618789960129664,-0.0898673182,1073.2726736006966,0.0,1073.2726736006966,1.0,-283.69,1.5839,349.36,1.553518985652897,close_trailing_long,0.5056845349531536,0.5056845349531536
27,33395,SOL,7.744086862697565,-0.0903976752,1080.9263627881942,0.0,1080.9263627881942,1.0,-285.96,1.5806,63.4,1.553518985652897,close_trailing_long,0.09111916137962973,0.09111916137962973
28,33397,SOL,1.380916309606323,-0.019974804,1082.2873042938006,0.0,1082.2873042938006,1.0,-63.4,1.5753,0.0,1.553518985652897,close_trailing_long,0.0,0.0
29,33643,SOL,0.0,-0.06209784000000001,1082.2252064538006,0.0,1082.2252064538006,1.0,191.66,1.62,191.66,1.62,entry_initial_normal_long,0.2868988803332355,0.2868988803332355
30,33714,SOL,1.916599999999959,-0.06248116,1084.0793252938006,0.0,1084.0793252938006,1.0,-191.66,1.63,0.0,1.62,close_trailing_long,0.0,0.0
31,33751,SOL,0.0,-0.06219748,1084.0171278138007,0.0,1084.0171278138007,1.0,186.22,1.67,186.22,1.67,entry_initial_normal_long,0.28688421245445267,0.28688421245445267
32,33769,SOL,4.432036000000008,-0.06308388720000001,1088.3860799266008,0.0,1088.3860799266008,1.0,-186.22,1.6938,0.0,1.67,close_trailing_long,0.0,0.0
33,34026,SOL,0.0,-0.06244608,1088.3236338466008,0.0,1088.3236338466008,1.0,180.48,1.73,180.48,1.73,entry_initial_normal_long,0.28689113264631066,0.28689113264631066
34,34038,SOL,1.8048000000000015,-0.06280704,1090.065626806601,0.0,1090.065626806601,1.0,-180.48,1.74,0.0,1.73,close_trailing_long,0.0,0.0
