,balance,equity,balance_btc,equity_btc
0,200.37525279999997,200.0,0.0,0.0
60,200.37525279999997,200.37525279999997,0.0,0.0
120,200.37525279999997,200.37525279999997,0.0,0.0
180,200.37525279999997,200.37525279999997,0.0,0.0
240,200.37525279999997,200.37525279999997,0.0,0.0
300,200.37525279999997,200.37525279999997,0.0,0.0
360,200.37525279999997,200.37525279999997,0.0,0.0
420,200.37525279999997,200.37525279999997,0.0,0.0
480,200.37525279999997,200.37525279999997,0.0,0.0
540,200.37525279999997,200.37525279999997,0.0,0.0
600,200.37525279999997,200.37525279999997,0.0,0.0
660,200.37525279999997,200.37525279999997,0.0,0.0
720,200.37525279999997,200.37525279999997,0.0,0.0
780,200.37525279999997,200.37525279999997,0.0,0.0
840,200.37525279999997,200.37525279999997,0.0,0.0
900,200.37525279999997,200.37525279999997,0.0,0.0
960,200.37525279999997,200.37525279999997,0.0,0.0
1020,200.37525279999997,200.37525279999997,0.0,0.0
1080,200.37525279999997,200.37525279999997,0.0,0.0
1140,200.37525279999997,200.37525279999997,0.0,0.0
1200,200.37525279999997,200.37525279999997,0.0,0.0
1260,200.37525279999997,200.37525279999997,0.0,0.0
1320,200.2986924,200.37525279999997,0.0,0.0
1380,200.2986924,200.2986924,0.0,0.0
1440,200.2986924,200.2986924,0.0,0.0
1500,200.2986924,200.2986924,0.0,0.0
1560,200.2986924,200.2986924,0.0,0.0
1620,200.2986924,200.2986924,0.0,0.0
1680,200.2986924,200.2986924,0.0,0.0
1740,200.2986924,200.2986924,0.0,0.0
1800,200.2986924,200.2986924,0.0,0.0
1860,200.2986924,200.2986924,0.0,0.0
1920,200.2986924,200.2986924,0.0,0.0
1980,200.2986924,200.2986924,0.0,0.0
2040,200.2986924,200.2986924,0.0,0.0
2100,200.2986924,200.2986924,0.0,0.0
2160,200.2986924,200.2986924,0.0,0.0
2220,200.2986924,200.2986924,0.0,0.0
2280,200.2986924,200.2986924,0.0,0.0
2340,200.2986924,200.2986924,0.0,0.0
2400,200.2986924,200.2986924,0.0,0.0
2460,200.2986924,200.2986924,0.0,0.0
2520,200.2986924,200.2986924,0.0,0.0
2580,200.2986924,200.2986924,0.0,0.0
2640,200.2986924,200.2986924,0.0,0.0
2700,200.2986924,200.2986924,0.0,0.0
2760,200.2943244,200.2986924,0.0,0.0
2820,200.3739396,200.2073244,0.0,-0.08700000000000041
2880,200.3739396,200.3739396,0.0,0.0
2940,200.3739396,200.3739396,0.0,0.0
3000,200.3739396,200.3739396,0.0,0.0
3060,200.3739396,200.3739396,0.0,0.0
3120,200.3739396,200.3739396,0.0,0.0
3180,200.3739396,200.3739396,0.0,0.0
3240,200.3739396,200.3739396,0.0,0.0
3300,200.3739396,200.3739396,0.0,0.0
3360,200.30309086000003,200.3739396,0.0,0.0
3420,200.30309086000003,200.19289086000003,0.0,-0.11020000000000074
3480,200.19442844000002,199.98699086000002,0.0,-0.3161000000000006
3540,200.19442844000002,200.19442844000002,0.0,0.0
