,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type,wallet_exposure,total_wallet_exposure
3767,279914,SOL,0.0,-0.027687840000000002,2034.8550223143995,0.0,2034.8550223143995,1.0,2.96,46.77,2.96,46.77,entry_initial_normal_long,0.06803393779009488,0.06803393779009488
3768,279930,SOL,0.8030479999999898,-0.0278484496,2035.6302218647995,0.0,2035.6302218647995,1.0,-2.96,47.0413,0.0,46.77,close_trailing_long,0.0,0.0
3769,279984,SOL,0.0,-0.027711520000000003,2035.6025103447996,0.0,2035.6025103447996,1.0,2.96,46.81,2.96,46.81,entry_initial_normal_long,0.06806711983103739,0.06806711983103739
3770,280080,SOL,0.0,-0.0362292,2035.5662811447996,0.0,2035.5662811447996,1.0,3.99,45.4,6.95,46.00051798561151,entry_grid_normal_long,0.15705880125907723,0.15705880125907723
3771,280107,SOL,2.4393250000000215,-0.064428585,2037.9411775597996,0.0,2037.9411775597996,1.0,-6.95,46.3515,0.0,46.00051798561151,close_trailing_long,0.0,0.0
3772,280116,SOL,0.0,-0.027771920000000002,2037.9134056397995,0.0,2037.9134056397995,1.0,3.02,45.98,3.02,45.98,entry_initial_normal_long,0.06813812579853228,0.06813812579853228
3773,280176,SOL,1.1732700000000016,-0.028006574000000003,2039.0586690657994,0.0,2039.0586690657994,1.0,-3.02,46.3685,0.0,45.98,close_trailing_long,0.0,0.0
3774,280343,SOL,0.0,-0.027768,2039.0309010657995,0.0,2039.0309010657995,1.0,3.0,46.28,3.0,46.28,entry_initial_normal_long,0.06809117013745523,0.06809117013745523
3775,280375,SOL,0.4785000000000039,-0.0278637,2039.4815373657996,0.0,2039.4815373657996,1.0,-3.0,46.4395,0.0,46.28,close_trailing_long,0.0,0.0
3776,280430,SOL,0.0,-0.027756000000000003,2039.4537813657996,0.0,2039.4537813657996,1.0,3.0,46.26,3.0,46.26,entry_initial_normal_long,0.06804763180613026,0.06804763180613026
3777,280453,SOL,0.44549999999999557,-0.027845099999999998,2039.8714362657995,0.0,2039.8714362657995,1.0,-3.0,46.4085,0.0,46.26,close_trailing_long,0.0,0.0
3778,280457,SOL,0.0,-0.027732,2039.8437042657995,0.0,2039.8437042657995,1.0,3.0,46.22,3.0,46.22,entry_initial_normal_long,0.06797579623871618,0.06797579623871618
3779,280571,SOL,0.0,-0.03621456,2039.8074897057995,0.0,2039.8074897057995,1.0,4.04,44.82,7.04,45.41659090909091,entry_grid_normal_long,0.15674655653221223,0.15674655653221223
3780,280620,SOL,0.0,-0.08356894000000001,2039.7239207657994,0.0,2039.7239207657994,1.0,9.49,44.03,16.53,44.620538415003026,entry_grid_normal_long,0.3616065353212517,0.3616065353212517
3781,280657,SOL,5.0426680000000355,-0.14852403360000005,2044.6180647321994,0.0,2044.6180647321994,1.0,-16.53,44.9256,0.0,44.620538415003026,close_trailing_long,0.0,0.0
3782,280667,SOL,0.0,-0.02782416,2044.5902405721995,0.0,2044.5902405721995,1.0,3.12,44.59,3.12,44.59,entry_initial_normal_long,0.06804336499281421,0.06804336499281421
3783,280695,SOL,-0.5616000000000213,-0.02771184,2044.0009287321996,0.0,2044.0009287321996,1.0,-3.12,44.41,0.0,44.59,close_trailing_long,0.0,0.0
3784,280696,SOL,0.0,-0.02786436,2043.9730643721996,0.0,2043.9730643721996,1.0,3.14,44.37,3.14,44.37,entry_initial_normal_long,0.06816224852884364,0.06816224852884364
3785,280780,SOL,1.2874000000000116,-0.028121840000000006,2045.2323425321997,0.0,2045.2323425321997,1.0,-3.14,44.78,0.0,44.37,close_trailing_long,0.0,0.0
3786,280796,SOL,0.0,-0.027845920000000003,2045.2044966121998,0.0,2045.2044966121998,1.0,3.16,44.06,3.16,44.06,entry_initial_normal_long,0.06807612648545822,0.06807612648545822
3787,280815,SOL,1.8280599999999945,-0.028211532,2047.0043450801998,0.0,2047.0043450801998,1.0,-3.16,44.6385,0.0,44.06,close_trailing_long,0.0,0.0
3788,281001,SOL,0.0,-0.027912400000000004,2046.9764326801997,0.0,2046.9764326801997,1.0,3.1,45.02,3.1,45.02,entry_initial_normal_long,0.06817958319982469,0.06817958319982469
3789,281020,SOL,0.2021199999999915,-0.027952824,2047.1505998561997,0.0,2047.1505998561997,1.0,-3.1,45.0852,0.0,45.02,close_trailing_long,0.0,0.0
3790,281021,SOL,0.0,-0.027881400000000004,2047.1227184561997,0.0,2047.1227184561997,1.0,3.1,44.97,3.1,44.97,entry_initial_normal_long,0.06809899511306838,0.06809899511306838
